n_miast;pop;limit_pokolen;p_mut;p_cross;elite_pct;best_len;dl_na_miasto;best_gen;gen_run;seed;tolerancja;czas_s
40;400;100;0.1;0.9;0.03;5264.44;131.611;89;100;5;;58.953
40;400;100;0.1;0.9;0.05;3576.03;89.401;99;100;0;;59.766
40;400;100;0.1;0.9;0.05;4323.38;108.084;99;100;1;;60.469
40;400;100;0.1;0.9;0.05;3538.47;88.462;95;100;2;;61.172
40;400;100;0.1;0.9;0.05;4509.02;112.726;100;100;3;;61.922
40;400;100;0.1;0.9;0.05;3659.91;91.498;96;100;4;;62.812
40;400;100;0.1;0.9;0.05;4505.22;112.63;93;100;5;;63.688
40;400;100;0.1;0.9;0.1;3087.95;77.199;98;100;0;;64.359
40;400;100;0.1;0.9;0.1;3847.69;96.192;96;100;1;;65.016
40;400;100;0.1;0.9;0.1;3425.37;85.634;98;100;2;;65.797
40;400;100;0.1;0.9;0.1;3544.89;88.622;100;100;3;;66.625
40;400;100;0.1;0.9;0.1;4029.93;100.748;98;100;4;;67.5
40;400;100;0.1;0.9;0.1;3558.04;88.951;100;100;5;;68.125
40;400;100;0.1;0.9;1.3;7282.32;182.058;1;100;0;;68.672
40;400;100;0.1;0.9;1.3;7833.21;195.83;1;100;1;;69.172
40;400;100;0.1;0.9;1.3;7066.0;176.65;1;100;2;;69.781
40;400;100;0.1;0.9;1.3;7835.39;195.885;1;100;3;;70.406
40;400;100;0.1;0.9;1.3;7740.79;193.52;1;100;4;;71.047
40;400;100;0.1;0.9;1.3;7811.19;195.28;1;100;5;;71.656
40;400;100;0.2;0.8;0.0;5322.77;133.069;100;100;0;;72.391
40;400;100;0.2;0.8;0.0;5835.65;145.891;73;100;1;;73.016
40;400;100;0.2;0.8;0.0;5128.85;128.221;95;100;2;;73.719
40;400;100;0.2;0.8;0.0;5825.67;145.642;83;100;3;;74.688
40;400;100;0.2;0.8;0.0;5650.9;141.273;97;100;4;;75.516
40;400;100;0.2;0.8;0.0;6727.57;168.189;81;100;5;;76.25
40;400;100;0.2;0.8;0.03;4192.34;104.809;100;100;0;;77.062
40;400;100;0.2;0.8;0.03;4321.16;108.029;92;100;1;;77.938
40;400;100;0.2;0.8;0.03;3792.07;94.802;93;100;2;;78.891
40;400;100;0.2;0.8;0.03;3754.02;93.851;97;100;3;;79.703
40;400;100;0.2;0.8;0.03;5196.83;129.921;86;100;4;;80.672
40;400;100;0.2;0.8;0.03;4123.36;103.084;99;100;5;;81.609
40;400;100;0.2;0.8;0.05;3618.42;90.461;100;100;0;;82.375
40;400;100;0.2;0.8;0.05;3873.9;96.848;100;100;1;;83.281
40;400;100;0.2;0.8;0.05;3903.65;97.591;99;100;2;;83.984
40;400;100;0.2;0.8;0.05;4357.64;108.941;94;100;3;;85.031
40;400;100;0.2;0.8;0.05;4203.7;105.093;91;100;4;;85.906
40;400;100;0.2;0.8;0.05;5435.04;135.876;94;100;5;;86.891
40;400;100;0.2;0.8;0.1;3688.61;92.215;98;100;0;;87.719
40;400;100;0.2;0.8;0.1;3593.32;89.833;100;100;1;;88.562
40;400;100;0.2;0.8;0.1;3137.95;78.449;95;100;2;;89.156
40;400;100;0.2;0.8;0.1;3812.23;95.306;100;100;3;;89.844
40;400;100;0.2;0.8;0.1;3768.71;94.218;94;100;4;;90.688
40;400;100;0.2;0.8;0.1;4331.7;108.293;97;100;5;;91.453
40;400;100;0.2;0.8;1.3;7282.32;182.058;1;100;0;;91.922
40;400;100;0.2;0.8;1.3;7833.21;195.83;1;100;1;;92.469
40;400;100;0.2;0.8;1.3;7066.0;176.65;1;100;2;;93.156
40;400;100;0.2;0.8;1.3;7835.39;195.885;1;100;3;;93.734
40;400;100;0.2;0.8;1.3;7740.79;193.52;1;100;4;;94.406
40;400;100;0.2;0.8;1.3;7811.19;195.28;1;100;5;;95.016
40;400;100;0.4;0.6;0.0;5193.4;129.835;93;100;0;;95.922
40;400;100;0.4;0.6;0.0;6549.28;163.732;44;100;1;;96.844
40;400;100;0.4;0.6;0.0;5555.57;138.889;74;100;2;;97.672
40;400;100;0.4;0.6;0.0;5704.65;142.616;99;100;3;;98.469
40;400;100;0.4;0.6;0.0;5829.22;145.73;66;100;4;;99.406
40;400;100;0.4;0.6;0.0;6395.17;159.879;92;100;5;;100.266
40;400;100;0.4;0.6;0.03;4111.73;102.793;94;100;0;;101.094
40;400;100;0.4;0.6;0.03;4649.18;116.229;99;100;1;;101.922
40;400;100;0.4;0.6;0.03;3800.63;95.016;98;100;2;;102.719
40;400;100;0.4;0.6;0.03;3905.25;97.631;100;100;3;;103.625
40;400;100;0.4;0.6;0.03;4777.12;119.428;100;100;4;;104.281
40;400;100;0.4;0.6;0.03;4589.33;114.733;100;100;5;;104.859
40;400;100;0.4;0.6;0.05;3970.53;99.263;94;100;0;;105.688
40;400;100;0.4;0.6;0.05;3736.0;93.4;100;100;1;;106.469
40;400;100;0.4;0.6;0.05;3601.61;90.04;100;100;2;;107.219
40;400;100;0.4;0.6;0.05;3754.31;93.858;99;100;3;;107.984
40;400;100;0.4;0.6;0.05;3891.68;97.292;97;100;4;;108.828
40;400;100;0.4;0.6;0.05;4416.22;110.406;99;100;5;;109.516
40;400;100;0.4;0.6;0.1;3147.08;78.677;96;100;0;;110.25
40;400;100;0.4;0.6;0.1;4150.03;103.751;98;100;1;;111.109
40;400;100;0.4;0.6;0.1;3595.74;89.893;94;100;2;;112.016
40;400;100;0.4;0.6;0.1;3382.54;84.564;99;100;3;;112.922
40;400;100;0.4;0.6;0.1;3339.28;83.482;100;100;4;;113.828
40;400;100;0.4;0.6;0.1;4193.69;104.842;100;100;5;;114.75
40;400;100;0.4;0.6;1.3;7282.32;182.058;1;100;0;;115.297
40;400;100;0.4;0.6;1.3;7833.21;195.83;1;100;1;;115.953
40;400;100;0.4;0.6;1.3;7066.0;176.65;1;100;2;;116.328
40;400;100;0.4;0.6;1.3;7835.39;195.885;1;100;3;;116.734
40;400;100;0.4;0.6;1.3;7740.79;193.52;1;100;4;;117.094
40;400;100;0.4;0.6;1.3;7811.19;195.28;1;100;5;;117.625
80;800;100;0.0;1.0;0.0;14743.06;184.288;100;100;0;;121.219
80;800;100;0.0;1.0;0.0;14544.19;181.802;90;100;1;;124.672
80;800;100;0.0;1.0;0.0;13582.49;169.781;94;100;2;;128.406
80;800;100;0.0;1.0;0.0;13208.12;165.102;66;100;3;;132.0
80;800;100;0.0;1.0;0.0;14965.31;187.066;60;100;4;;135.422
80;800;100;0.0;1.0;0.0;14648.42;183.105;63;100;5;;138.516
80;800;100;0.0;1.0;0.03;10902.37;136.28;98;100;0;;142.047
80;800;100;0.0;1.0;0.03;10945.16;136.814;98;100;1;;145.422
